ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
339922801,Audio,Northern Cardinal,Cardinalis cardinalis,,Matt Wistrand,2021-05-12,2021,5,12,522,United States,US-IL-043,Illinois,DuPage,"Elsen's Hill, West DuPage Woods Forest Preserve",41.8621000,-88.1725000,Adult Male – 1,Call; Song,Unspecified,,,,,Sound Devices MixPre3 II,Sennheiser MKH20,Telinga Universal Pro,,S87891918,,,,,,Cardinalis cardinalis,norcar,Species,34224,,5.00,16,,,
337365371,Audio,Northern Cardinal,Cardinalis cardinalis,,James (Jim) Holmes,2021-04-29,2021,4,29,1805,United States,US-FL-087,Florida,Monroe,Key Largo Hammocks State Botanical Site,25.1758333,-80.3694444,Adult Male – 1,Call,Unspecified,,,,,Olympus LS11,Sennheiser ME67,,,S86685885,,,,,,Cardinalis cardinalis,norcar,Species,34224,,5.00,12,,,
81497091,Audio,Northern Cardinal,Cardinalis cardinalis,,Tom Reed,2018-01-11,2018,1,11,725,United States,US-NJ-009,New Jersey,Cape May,Cape Island--Cape May Point SP (CMPSP),38.9338272,-74.9550854,,Call,Not Used,,,,,Roland R-26,Sennheiser ME67,,,S41819060,,,,,,Cardinalis cardinalis,norcar,Species,34224,,4.36,11,,,
101113031,Audio,Northern Cardinal,Cardinalis cardinalis,,James (Jim) Holmes,2018-05-20,2018,5,20,619,United States,US-DC-001,District of Columbia,District of Columbia,Kenilworth Park and Aquatic Gardens,38.9133204,-76.9443433,Adult Male,Call,Not Used,,,,,Olympus LS11,Sennheiser ME67,,,S45852739,,,,,,Cardinalis cardinalis,norcar,Species,34224,,5.00,5,,,
210653601,Audio,Northern Cardinal,Cardinalis cardinalis,Dryocopus pileatus -- Pileated Woodpecker,Natasza Fontaine,2020-02-08,2020,2,8,758,United States,US-FL-001,Florida,Alachua,Sweetwater Wetlands Park,29.6193055,-82.3285764,,Call; Foraging or Eating; Song,Not Used,,,,,Tascam DR100 MKIII,Sennheiser ME66,,,S64235400,,,,,,Cardinalis cardinalis,norcar,Species,34224,,4.67,6,,,
91931711,Audio,Northern Cardinal,Cardinalis cardinalis,,Robert Bochenek,2018-03-28,2018,3,28,1202,United States,US-MI-125,Michigan,Oakland,Seven Lakes SP,42.8140235,-83.6549664,Adult Male,Call; Song,Not Used,,,,,Samsung S7 Cellphone,,,,S44039982,,,,,,Cardinalis cardinalis,norcar,Species,34224,,4.67,6,,,
310448821,Audio,Northern Cardinal,Cardinalis cardinalis,Thryothorus ludovicianus -- Carolina Wren,Tom Marvel,2021-02-22,2021,2,22,631,United States,US-FL-021,Florida,Collier,Picayune Strand SF--Belle Mead Horse Trail,26.1406552,-81.6538940,Adult Female – 1,Call,Not Used,,,,,Sound Device MixPre 3,Rode NTG 2,,,S82145880,,,,Chip note is from female. ,,Cardinalis cardinalis,norcar,Species,34224,,4.38,8,,,
430497051,Audio,Northern Cardinal,Cardinalis cardinalis,,Esha Munshi,2022-03-30,2022,3,30,811,United States,US-FL-095,Florida,Orange,Residence Inn Marriott At SeaWorld,28.4056065,-81.4752668,,Call; Song,Not Used,,,,,iPhone 12 Pro Max,,,,S105887696,,,,,,Cardinalis cardinalis,norcar,Species,34224,,5.00,4,,,
111076261,Audio,Northern Cardinal,Cardinalis cardinalis,,Dave Slager,2018-03-22,2018,3,22,706,United States,US-MI-145,Michigan,Saginaw,Shiawassee NWR--Ferguson Bayou Trail,43.3391937,-84.0257978,,Call; Song,Not Used,,,,,Marantz PMD661,Sennheiser ME67,,,S43960938,,,,Natural song and call from seen male at 9:48am. Highpass filter 250 Hz in Ocen Audio.,,Cardinalis cardinalis,norcar,Species,34224,,4.75,4,,,
209323,Audio,Northern Cardinal,Cardinalis cardinalis,,Julia Ferguson,2014-04-27,2014,4,27,1100,United States,US-IN-105,Indiana,Monroe,Meadow Park Apartments parking lot,39.1724180,-86.4788960,Adult Male – 1,Call; Song,Not Used,,,,,MARANTZ PMD 661,Sennheiser MKH 106T,Roche Parabola 74cm/17.7cm (29.1in/7in),,,,,,,,Cardinalis cardinalis,norcar,Species,34224,,4.20,5,,,
612541661,Audio,Northern Cardinal,Cardinalis cardinalis,,David Drews,2023-12-22,2023,12,22,1640,United States,US-WI-049,Wisconsin,Iowa,6681 Leaches Crossing Rd-General,43.1385372,-90.2349761,Adult – 1,Call; Mechanical Sound,Unspecified,,,,,ZoomF3,Rode NTG2,,,S156895982,,,,"Nearly dark. Bird calling from bushes after I apparently disturbed it by walking by. Moving from spot to spot on occasion, but never far.","One at the feeders at the outset. Two (perhaps one) rustled then called from shrubs in the draw within a few meters of me as I walked by. Recorded with Merlin on an iPhone using its internal mic and also with a Zoom F3 and Rode NTG2 shotgun mic. No headphones, so I couldn't be sure the mic was optimally positioned or if I was generating handling noise. The evening was quiet overall, so it could make for an interesting experiment. The iPhone recording and one of the Zoom/Rode recordings overlap.",Cardinalis cardinalis,norcar,Species,34224,,5.00,3,,,
316948901,Audio,Northern Cardinal,Cardinalis cardinalis,Agelaius phoeniceus -- Red-winged Blackbird,Kiera Scott,2021-03-15,2021,3,15,913,United States,US-MI-163,Michigan,Wayne,Belle Isle,42.3400860,-82.9775444,,Call; Song,Unspecified,,,,,TASCAM DR-40,RODE NTG-1,,,S83455201,,,,,,Cardinalis cardinalis,norcar,Species,34224,,5.00,3,,,
284999651,Audio,Northern Cardinal,Cardinalis cardinalis,,Jeff Graham,2020-12-03,2020,12,3,841,United States,US-FL-019,Florida,Clay,Clay - Crowbar (private residence),30.1764870,-81.7073650,Adult Male – 1,Call; Foraging or Eating,Not Used,,,,,Roland R-26,Sennheiser ME-62,"Parabola, MK2",,S77029741,,,,,,Cardinalis cardinalis,norcar,Species,34224,,5.00,3,,,
